u,v,key
1346435061,2926152500,0
1346435061,5452015806,0
1352601538,5775678257,0
1364843578,13058652638,0
1364843661,2364711830,0
1364843683,5054904324,0
2364711830,7700632339,0
2364711861,1364843683,0
2364711962,5821326401,0
2364712076,5821327026,0
2364712087,6114665253,0
2364712108,2394032574,0
2365222501,5783970453,0
2365222513,5452047111,0
2365493335,8187016199,0
2365493439,5501702850,0
2394032574,12051469051,0
2394032603,2394032641,0
2394032641,2394032687,0
2394032687,4911457376,0
2394032700,2394032705,0
2394032705,4911457175,0
2394032712,10210210265,0
2394032727,5794289077,0
2394032744,2394032747,0
2394032747,5794289017,0
2394032768,10148908708,0
2926152500,5775679499,0
2926152500,11168861324,0
2926154938,5794288223,0
2926154979,5775678355,0
4080112366,5496019533,0
4080112800,4080112836,0
4080112836,4080112849,0
4080112849,4080112867,0
4080112867,5797942306,0
4571273962,5058275211,0
4911457175,2394032712,0
4911457376,2394032700,0
5054901610,5054903670,0
5054902249,5054902280,0
5054902280,7779987197,0
5054902373,5054902797,0
5054902426,5054903777,0
5054902502,11652261926,0
5054902510,5054902773,0
5054902660,5054902426,0
5054902764,5054902502,0
5054902768,5054902764,0
5054902773,5054902768,0
5054902784,5054902510,0
5054902797,5054902784,0
5054902999,5054903227,0
5054903227,5054902373,0
5054903231,7779987207,0
5054903355,5054903689,0
5054903375,5054903692,0
5054903408,5054903556,0
5054903556,5054903355,0
5054903582,5054903408,0
5054903670,5054903675,0
5054903672,5054901610,0
5054903675,5054903677,0
5054903677,5054903682,0
5054903682,5054903582,0
5054903689,5054903375,0
5054903692,5054903231,0
5054903699,5054903726,0
5054903726,5054902999,0
5054903777,1364843661,0
5054903904,5054905054,0
5054904223,7779987215,0
5054904324,5054903672,0
5054905054,7779987212,0
5054905118,5054905245,0
5054905245,5054903904,0
5058275211,5812660272,0
5058289942,6114715780,0
5058289949,6114715994,0
5058289949,6114716017,0
5058289955,13058652612,0
5452015806,6112369008,0
5452046552,5501702881,0
5452046971,8187367463,0
5452046978,13058638446,0
5452047111,2364711962,0
5496019533,4080112800,0
5496219843,5496328040,0
5501702770,8677547925,0
5501702805,5807948055,0
5501702825,5501702835,0
5501702834,5501702836,0
5501702835,5501702834,0
5501702836,5501702847,0
5501702847,6102222805,0
5501702850,5501702863,0
5501702853,5452046552,0
5501702863,5501702853,0
5501702881,5501702887,0
5501702887,6114643861,0
5501702889,11926973524,0
5530500542,5797941809,0
5582154566,5788862751,0
5760680831,5775680506,0
5775678235,5775678230,0
5775678246,5775678235,0
5775678249,5775678246,0
5775678256,5775678249,0
5775678257,6115472859,0
5775678355,5794288392,0
5775678431,5496219843,0
5775678431,5775678440,0
5775679442,2926154938,0
5775679499,11168861323,0
5775679511,5775679524,0
5775679524,5775679581,0
5775679581,5775679700,0
5775679700,5582154566,0
5775680041,6115472851,0
5775680248,6115472869,0
5775680263,5775680248,0
5775680263,6098366849,0
5775680310,5797942086,0
5775680506,5797941851,0
5779960673,5779960638,0
5779960692,6627298100,0
5783970453,5797942495,0
5783970453,5821326492,0
5783970465,5775680310,0
5783970472,5794288204,0
5788862751,5788864873,0
5788864873,5775678431,0
5789241140,5797942729,0
5789241143,5789241144,0
5789241144,5789241147,0
5789241147,5789241150,0
5789241150,6098510125,0
5789241152,5789241155,0
5789241155,5789241170,0
5789241170,8677559695,0
5789241176,8677559875,0
5789241188,5789241190,0
5789241190,5789241206,0
5789241206,5789241367,0
5789241367,5789241725,0
5789241725,5789241749,0
5789241749,6098228620,0
5789241813,5789241819,0
5789241819,6105060771,0
5794288204,2926154979,0
5794288223,5783970472,0
5794288392,5775679193,1
5794289017,2394032727,0
5794289077,6115434798,0
5797941809,5797944281,0
5797941851,5797941852,0
5797941852,5797942131,0
5797942061,5760680831,0
5797942086,5797942061,0
5797942131,5797942958,0
5797942306,4080112898,0
5797942495,5797942553,0
5797942553,5797942570,0
5797942555,5789241140,0
5797942570,5797942555,0
5797942729,4080112366,0
5797942958,11665434823,0
5797943618,5797943661,0
5797943648,5797943618,0
5797944278,5797943648,0
5797944281,5797944278,0
5807947785,12638330420,0
5807948029,5501702825,0
5807948055,5807948029,0
5809442644,5775680263,0
5812660154,5812660285,0
5812660156,5812660154,0
