u,v,key
1346435061,2926152500,0
1346435061,5452015806,0
2364711962,5821326401,0
2365222501,5783970453,0
2365222513,5452047111,0
2926152500,5775679499,0
4080112867,5797942306,0
4080112872,4080112867,0
4080112891,4080112872,0
5452015806,6112369008,0
5452047111,2364711962,0
5501702770,8677547925,0
5582154566,5788862751,0
5775678431,5775678440,0
5775679499,11168861323,0
5775679511,5775679524,0
5775679524,5775679581,0
5775679581,5775679700,0
5775679700,5582154566,0
5775680303,5797942340,0
5783970453,5821326492,0
5788862751,5788864873,0
5788864873,5775678431,0
5789241143,5789241144,0
5789241144,5789241147,0
5789241147,5789241150,0
5789241150,6098510125,0
5789241152,5789241155,0
5789241155,5789241170,0
5789241170,8677559695,0
5789241176,8677559875,0
5789241188,5789241190,0
5789241190,5789241206,0
5789241206,5789241367,0
5789241367,8677623871,0
5789241678,5839998038,0
5797942306,4080112898,0
5797942340,4080112891,0
5821326364,1346435061,0
5821326401,5821326364,0
5821326492,2365222513,0
5821326562,2365222501,0
5821326593,5821326595,0
5821326595,6115281809,0
5821326622,5821326562,0
5839997991,5789241678,0
5839998038,5775680303,0
6098510125,5789241152,0
6101950261,5821326593,0
6112369008,6112369009,0
6112369009,5501702770,0
6115281809,5821326622,0
8677547925,5789241143,0
8677559695,5789241176,0
8677559875,8677623830,0
8677623830,5789241188,0
8677623871,8677624219,0
8677624219,5839997991,0
11168861323,5775679511,0
