u,v,key
245749879,5840078882,0
1346435061,2926152500,0
1346435061,5452015806,0
1364843661,2364711830,0
2364711830,7700632339,0
2364711962,2364711996,0
2364711962,5821326401,0
2364711996,5821326442,0
2364712104,6115449434,0
2365222501,5783970453,0
2365222513,5452047111,0
2365222654,5821327023,0
2365493439,5501702850,0
2394032727,5794289077,0
2926152500,5775679499,0
2926152500,11168861324,0
2926154938,5794288223,0
2926154979,5775678355,0
4080112800,5797942674,0
4080112836,4080112800,0
4080112867,5797942306,0
4080112872,4080112867,0
4080112891,4080112872,0
4080112891,11669967523,0
4571273962,5058275211,0
5054902426,5054903777,0
5054902660,5054902426,0
5054903777,1364843661,0
5054903904,5054905054,0
5054904223,7779987215,0
5054905054,7779987212,0
5054905118,5054905245,0
5054905245,5054903904,0
5058275211,5812660272,0
5058289955,13058652612,0
5452015806,6112369008,0
5452046552,5501702881,0
5452046971,8186672589,0
5452046978,13058638446,0
5452047020,5807948122,0
5452047111,2364711962,0
5496219843,5496328040,0
5501702770,8677547925,0
5501702850,5501702863,0
5501702853,5452046552,0
5501702863,5501702853,0
5501702881,5501702887,0
5501702887,6114643861,0
5501702889,11926973524,0
5530500542,5797941809,0
5582154566,5788862751,0
5775677201,5775677214,0
5775677214,5775680304,0
5775678235,5775678230,0
5775678246,5775678235,0
5775678249,5775678246,0
5775678256,5775678249,0
5775678257,6115472859,0
5775678355,5794288392,0
5775678431,5496219843,0
5775678431,5775678440,0
5775679442,2926154938,0
5775679499,11168861323,0
5775679511,5775679524,0
5775679524,5775679581,0
5775679581,5775679700,0
5775679700,5582154566,0
5775680248,6115472869,0
5775680263,5775680248,0
5775680303,5797942340,0
5775680304,6098364612,0
5775680475,5775680487,0
5775680487,5797942059,0
5779960667,11920765581,0
5779960673,5779960638,0
5779960692,6627298100,0
5783970453,5821326492,0
5783970472,5794288204,0
5783970521,11297399708,0
5788862751,5788864873,0
5788864873,5775678431,0
5789241143,5789241144,0
5789241144,5789241147,0
5789241147,5789241150,0
5789241150,6098510125,0
5789241152,5789241155,0
5789241155,5789241170,0
5789241170,8677559695,0
5789241176,8677559875,0
5789241188,5789241190,0
5789241190,5789241206,0
5789241206,5789241367,0
5789241367,5789241725,0
5789241367,8677623871,0
5789241678,5839998038,0
5789241725,5789241749,0
5789241749,6098228620,0
5789241813,5789241819,0
5789241819,5775677201,0
5789241819,6105060771,0
5794288204,2926154979,0
5794288223,5783970472,0
5794288392,5775679193,1
5794289017,2394032727,0
5794289018,5794289017,0
5794289022,5794289018,0
5794289027,5794289022,0
5794289077,6115434798,0
5797941809,5797944281,0
5797941852,5797942131,0
5797942059,5797942104,0
5797942104,5797941852,0
5797942131,5797942958,0
5797942306,4080112898,0
5797942340,4080112891,0
5797942674,5775680475,0
5797942958,11665434823,0
5797943648,5797943618,0
5797944278,5797943648,0
5797944281,5797944278,0
5807947785,12638330420,0
5807948122,6114716013,0
5807948177,5452047020,0
5809442644,5775680263,0
5812660153,5812660159,0
5812660155,5812660153,0
5812660157,5812660158,0
5812660158,5812660155,0
5812660159,5812660164,0
5812660164,5812660283,0
5812660180,6627298246,0
5812660181,5812660157,0
5812660258,5812660180,0
5812660272,11978991552,0
5812660283,6627298136,0
5821326238,5821326340,0
5821326340,2364712104,0
5821326364,1346435061,0
5821326401,5821326364,0
5821326442,2365222654,0
5821326491,5807948177,0
5821326492,2365222513,0
5821326562,2365222501,0
5821326592,5821326491,0
5821326593,5054905118,0
5821326593,5821326595,0
5821326595,6115281809,0
5821326622,5821326562,0
5821326622,5821326592,0
5821327023,5821326238,0
5821327859,6102370268,0
5839997991,5789241678,0
5839998038,5775680303,0
5840078882,5783970521,0
6098228620,5789241813,0
6098360818,5775678257,0
6098364612,6098360818,0
6098510125,5789241152,0
6101950261,5821326593,0
6102076167,6102082301,0
6102082301,2365493439,0
6102325853,6102375940,0
6102342079,6102325853,0
6102370268,6102342079,0
6102375940,5779960692,0
6105060771,5809442644,0
6112369008,6112369009,0
6112369009,5501702770,0
6114643861,6114775307,0
6114715269,6114715278,0
6114715278,6114723049,0
6114715489,13058652614,0
6114716013,5058289955,0
6114723049,13058652611,0
6114775307,11926973527,0
6115281809,5821326622,0
6115434798,11328019580,0
6115449434,6115449445,0
6115449445,6115449690,0
6115449690,6115449707,0
6115449707,6115456404,0
6115449892,5794289027,0
6115456404,245749879,0
6115472859,5775678256,0
6115472869,5775680227,0
6627298098,6627298099,0
6627298099,8646878687,0
6627298100,6627298098,0
6627298105,5779960667,0
6627298112,8646871441,0
6627298113,6627298114,0
6627298114,8646830424,0
6627298123,11920763168,0
6627298136,6627298137,0
6627298137,6627298135,0
6627298246,5812660181,0
7700632339,12600311841,0
7779987212,7779987219,0
7779987215,5054902660,0
7779987219,5054904223,0
8186672578,8187091671,0
8186672589,8188350402,0
8187087756,8186672578,0
8187091671,6102076167,0
8188350402,8187087756,0
8646800062,5779960673,0
8646830424,6627298112,0
8646871441,6627298105,0
8646878686,8646878693,0
8646878687,8646878686,0
8646878693,8646878699,0
8646878699,8665595979,0
8665595979,6627298113,0
8677547925,5789241143,0
8677559695,5789241176,0
8677559875,8677623830,0
8677623830,5789241188,0
8677623871,8677624219,0
8677624219,5839997991,0
11168817993,5775679442,0
11168861323,5775679511,0
11168861324,11168817993,0
11297399708,6115449892,0
11665434823,5530500542,0
11669967523,4080112836,0
11920763168,8646800062,0
11920765581,6627298123,0
11926973521,5807947785,0
11926973524,11926973521,0
11926973525,5501702889,0
11926973527,11926973525,0
11978991552,5812660258,0
12531704690,12638330422,0
12600311841,4571273962,0
12638330404,5821327859,0
12638330420,12531704690,0
12638330422,12638330404,0
13058638446,5452046971,0
13058652611,6114715489,0
13058652612,6114715269,0
13058652614,5452046978,0
