u,v,key
1346434786,5821328073,0
1346435061,2926152500,0
1352601538,5775678257,0
1364843613,5054904064,0
1364843661,6101922032,0
2364711576,6115257813,0
2364711664,4080112309,0
2364711664,5797942098,0
2364711713,5054902522,0
2364711757,5054904615,0
2364711770,2364711757,0
2364711962,5821326401,0
2364712076,5821327026,0
2364712087,6114665253,0
2364712108,2394032574,0
2365493259,2364711962,0
2394032574,12051469051,0
2394032599,2394032604,0
2394032603,2394032599,0
2394032604,6105047890,0
2394032727,5794289077,0
2926152500,11168861324,0
2926154938,5794288223,0
2926154979,5775678355,0
4080112309,5797942614,0
4080112366,5496019533,0
4080112800,4080112836,0
4080112836,4080112849,0
4080112836,11669967523,0
4080112849,4080112867,0
4080112867,5797942306,0
4080112891,5797942340,0
5054901606,5054904254,0
5054901610,5054903672,0
5054902260,2364711576,0
5054902426,5054903777,0
5054902522,5054904630,0
5054902660,5054902426,0
5054903339,5054903711,0
5054903672,5054904324,0
5054903711,2364711770,0
5054903777,1364843661,0
5054904064,5054904143,0
5054904085,5054904129,0
5054904129,7779987215,0
5054904143,5054904085,0
5054904156,1364843613,0
5054904254,5054904156,0
5054904264,5054901606,0
5054904324,5054904328,0
5054904324,7779987206,0
5054904328,5054903339,0
5054904615,5054904622,0
5054904622,2364711713,0
5054904630,5054902260,0
5058289942,6114715780,0
5058289949,6114716017,0
5058289955,5058289956,0
5058289955,13058652612,0
5058289956,1346434786,0
5452046971,8187367463,0
5452046978,13058638446,0
5496019533,4080112800,0
5496219843,5496328040,0
5496380412,5775679700,0
5501702785,5821326699,0
5501702805,5807948055,0
5501702825,5501702835,0
5501702834,5501702836,0
5501702835,5501702834,0
5501702836,5501702847,0
5501702847,6102222805,0
5582154566,5788862751,0
5760680831,5775680506,0
5775677201,5789241304,0
5775677570,6098061166,0
5775677571,5775677580,0
5775677571,5775680275,0
5775677580,6098187577,0
5775678235,5775678230,0
5775678246,5775678235,0
5775678249,5775678246,0
5775678256,5775678249,0
5775678257,6115472859,0
5775678355,5794288392,0
5775678431,5496219843,0
5775678431,5775678440,0
5775679442,2926154938,0
5775679525,5496380412,0
5775679700,5582154566,0
5775680041,6115472851,0
5775680263,6098366849,0
5775680275,6105060759,0
5775680277,5775677571,0
5775680280,6098069741,0
5775680296,5775680280,0
5775680303,5775680296,0
5775680506,5797941851,0
5783970472,5794288204,0
5783970521,11297399708,0
5788862751,5788864873,0
5788864873,5775678431,0
5789241140,5797942729,0
5789241304,6112480864,0
5789241819,5775677201,0
5794288204,2926154979,0
5794288223,5783970472,0
5794288392,5775679193,1
5794289017,2394032727,0
5794289018,5794289017,0
5794289022,5794289018,0
5794289027,5794289022,0
5794289077,6115434798,0
5797941851,5797941852,0
5797941852,5797942131,0
5797942098,5760680831,0
5797942131,5797942958,0
5797942177,5797942218,0
5797942218,5797942240,0
5797942240,5797942245,0
5797942241,5797944150,0
5797942245,5797942241,0
5797942306,4080112898,0
5797942340,5775680303,0
5797942555,5789241140,0
5797942570,5797942555,0
5797942606,5797942570,0
5797942614,5797942606,0
5797942729,4080112366,0
5797942958,5797942978,0
5797942978,5797942990,0
5797942990,5797942177,0
5797943618,5797943661,0
5797944150,5797943618,0
5807948029,5501702825,0
5807948055,5807948029,0
5809442644,5775680263,0
5809442644,6105060771,0
5821326364,1346435061,0
5821326401,5821326364,0
5821326699,2365493259,0
5821327026,6102222884,0
5821328073,5821328187,0
5821328187,5501702785,0
6098061166,6098360592,0
6098064144,5775677570,0
6098069741,5775680277,0
6098187577,6098064144,0
6098359972,5775680227,0
6098360592,6098359972,0
6098366849,5775680041,0
6101922032,6105053250,0
6101924768,6114679291,0
6101925063,2364712087,0
6101951092,5058289942,0
6102015856,6114680296,0
6102015878,6101924768,0
6102222805,6102015856,0
6102222884,6101925063,0
6104994451,5775679525,0
6105047890,5783970521,0
6105053250,6101951092,0
6105060754,5809442644,0
6105060759,6105060754,0
6105060771,5789241819,0
6112480864,12219184197,0
6114665226,6114716055,0
6114665253,6114697453,0
6114679291,11920760345,0
6114680296,6102015878,0
6114697453,6114716043,0
6114715269,6114715278,0
6114715278,6114723049,0
6114715489,13058652614,0
6114715776,6114716004,0
6114715780,6114715776,0
6114716004,5058289949,0
6114716008,5058289955,0
6114716017,6114716008,0
6114716043,6114665226,0
6114716055,2364712108,0
6114723049,13058652611,0
6115257813,2364711664,0
6115434798,11328019580,0
6115449892,5794289027,0
6115472848,6115472868,0
6115472851,6115472855,0
6115472855,6115472848,0
6115472859,5775678256,0
6115472868,1352601538,0
7779987206,5054904264,0
7779987215,5054902660,0
8187367449,8187367459,0
8187367459,8187367467,0
8187367463,8187367449,0
8187367467,8187367469,0
8187367469,5501702805,0
11168817993,5775679442,0
11168861324,11168817993,0
11297399708,6115449892,0
11669967523,4080112891,0
11920760345,2364712076,0
12051457958,2394032603,0
12051469051,12051475295,0
12051475295,12051475304,0
12051475304,12051457958,0
12219184197,6104994451,0
13058638446,5452046971,0
13058652611,6114715489,0
13058652612,6114715269,0
13058652614,5452046978,0
